stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
27,907933,HAMILTON E HOLMES STATION,70 HAMILTON E HOLMES DR NW & CSX TRANSPORTATION,33.754553,-84.469302,,,,,,1
28,908023,WEST LAKE STATION,80 ANDERSON AVE NW & CSX TRANSPORTATION,33.753328,-84.445329,,,,,,1
39,907906,WEST LAKE STATION,80 ANDERSON AVE NW & CSX TRANSPORTATION,33.753247,-84.445568,,,,,,1
40,907907,HAMILTON E HOLMES STATION,70 HAMILTON E HOLMES DR NW & CSX TRANSPORTATION,33.754517,-84.469824,,,,,,1
53,908051,DUNWOODY STATION,1200 HAMMOND DR NE & UNNAMED ST,33.920862,-84.344213,,,,,,1
57,908054,LINDBERGH CENTER STATION,2424 PIEDMONT RD NE & METRO ATLANTA RAPID TRANSIT ATHRTY,33.823385,-84.369357,,,,,,1
58,908055,LINDBERGH CENTER STATION,2424 PIEDMONT RD NE & METRO ATLANTA RAPID TRANSIT ATHRTY,33.823492,-84.369324,,,,,,1
61,908047,DUNWOODY STATION,1200 HAMMOND DR NE & UNNAMED ST,33.92113,-84.344268,,,,,,1
83,908186,BROOKHAVEN-OGLETHORPE STATION,4067 PEACHTREE RD NE & LENOX RD NE,33.860329,-84.339245,,,,,,1
84,908187,BROOKHAVEN-OGLETHORPE STATION,4047 PEACHTREE RD NE & LENOX RD NE,33.859989,-84.339397,,,,,,1
111,906369,ARTS CENTER STATION,1255 W PEACHTREE ST NW & 16TH ST NW,33.789669,-84.387414,,,,,,1
112,906370,ARTS CENTER STATION,1255 W PEACHTREE ST NW & 15TH ST NE,33.788828,-84.387272,,,,,,1
133,908374,MIDTOWN  STATION,41 10TH ST NE & PEACHTREE WALK NE,33.781247,-84.386342,,,,,,1
134,908375,MIDTOWN STATION,41 10TH ST NE & PEACHTREE WALK NE,33.781355,-84.386353,,,,,,1
185,908566,EAST LAKE STATION,2260 W HOWARD AVE & UNNAMED ST,33.765241,-84.312937,,,,,,1
186,908567,EAST LAKE STATION,2260 W HOWARD AVE & UNNAMED ST,33.765196,-84.313426,,,,,,1
193,908475,DECATUR STATION,400 CHURCH ST & E PONCE DE LEON AVE,33.774699,-84.295417,,,,,,1
195,908476,EDGEWOOD-CANDLER PARK STATION,1475 DEKALB AVE NE & HURT ST NE,33.761803,-84.340825,,,,,,1
198,908618,GEORGIA STATE STATION,170 PIEDMONT AVE SE & GEORGIA,33.750161,-84.385915,,,,,,1
201,908696,GEORGIA STATE STATION,170 PIEDMONT AVE SE & BROAD ST SW,33.750143,-84.385882,,,,,,1
204,908699,EDGEWOOD-CANDLER PARK STATION,1475 DEKALB AVE NE & HURT ST NE,33.761866,-84.340456,,,,,,1
206,908700,DECATUR STATION,400 CHURCH ST & E PONCE DE LEON AVE,33.774681,-84.295319,,,,,,1
217,908628,EAST POINT STATION,2848 MAIN ST & THOMPSON AVE,33.677424,-84.440542,,,,,,1
218,908629,LAKEWOOD-FT MCPHERSON STATION,2020 LEE ST SW & THOMPSON AVE,33.70088,-84.428768,,,,,,1
219,908704,WEST END STATION,680 LEE ST SW & UNNAMED ST,33.736564,-84.413653,,,,,,1
220,908705,WEST END STATION,680 LEE ST SW & UNNAMED ST,33.735705,-84.413663,,,,,,1
221,908706,LAKEWOOD-FT MCPHERSON STATION,2020 LEE ST SW & MAIN ST,33.700298,-84.428865,,,,,,1
222,908707,EAST POINT STATION,2848 MAIN ST & THOMPSON AVE,33.676985,-84.440704,,,,,,1
224,908709,KENSINGTON STATION,3350 KENSINGTON RD & UNNAMED ST,33.772764,-84.252151,,,,,,1
232,908634,KENSINGTON STATION,3350 KENSINGTON RD & E PONCE DE LEON AVE,33.772647,-84.251607,,,,,,1
243,908717,LENOX STATION,955 E PACES FERRY RD NE & LENOX RD NE,33.845307,-84.358387,,,,,,1
244,908718,BUCKHEAD STATION,3360 PEACHTREE RD NE & GA-400-TOLL,33.84781,-84.367629,,,,,,1
249,908639,BUCKHEAD STATION,3360 PEACHTREE RD NE & GA-400-TOLL,33.847944,-84.367716,,,,,,1
250,906827,LENOX STATION,955 E PACES FERRY RD NE & LENOX RD NE,33.845388,-84.358235,,,,,,1
269,907960,BANKHEAD STATION,1335 DONALD LEE HOLLOWELL PKY NW & UNNAMED ST,33.772159,-84.428873,,,,,,1
270,907961,BANKHEAD STATION,1335 DONALD LEE HOLLOWELL PKY NW & UNNAMED ST,33.772436,-84.428906,,,,,,1
280,907913,NORTH AVENUE STATION,713 W PEACHTREE ST NW & NORTH AVE NE,33.771472,-84.387258,,,,,,1
281,907914,NORTH AVENUE STATION,713 W PEACHTREE ST NW & UNNAMED ST,33.771741,-84.387204,,,,,,1
355,906311,HOWELL MILL RD @ KIPLING DR,HOWELL MILL RD NW & KIPLING DR NW,33.81354,-84.414774,0,,,,,1
375,908862,DORAVILLE STATION,6000 NEW PEACHTREE RD & PARK AVE,33.902411,-84.281166,,,,,,1
384,908845,DORAVILLE STATION,6000 NEW PEACHTREE RD & LENOX RD NE,33.902787,-84.28061,,,,,,1
394,908872,MEDICAL CENTER STATION,5711 PEACHTREE DUNWOODY RD NE & HOLLIS COBB CIR,33.910757,-84.35189,,,,,,1
399,908885,MEDICAL CENTER STATION,5711 PEACHTREE DUNWOODY RD & HOLLIS COBB CIR,33.910739,-84.351759,,,,,,1
429,908911,CIVIC CENTER STATION,435 W PEACHTREE ST NW & I-75,33.766111,-84.387504,,,,,,1
430,908912,CIVIC CENTER STATION,435 W PEACHTREE ST NW & I-75,33.766236,-84.387504,,,,,,1
470,908958,VINE CITY STATION,502 RHODES ST NW & UNNAMED ST,33.756613,-84.403902,0,,,,,1
471,908959,VINE CITY STATION,502 RHODES ST NW & ELECTRIC AVE NW,33.756613,-84.404021,,,,,,1
485,908963,ASHBY STATION,65 JOSEPH E LOWERY BLVD NW & UNNAMED ST,33.756478,-84.41723,,,,,,1
486,908964,ASHBY STATION,65 JOSEPH E LOWERY BLVD NW & UNNAMED ST,33.756477,-84.417328,,,,,,1
693,908301,OAKLAND CITY STATION,1400 LEE ST SW & MAIN ST,33.7173,-84.42503,,,,,,1
694,908302,OAKLAND CITY STATION,1400 LEE ST SW & UNNAMED ST,33.716978,-84.425138,,,,,,1
730,908480,NORTH SPRINGS STATION,7010 PEACHTREE DUNWOODY RD & PERIMETER CTR W,33.944377,-84.357253,,,,,,1
796,908435,GWCC-CNN CENTER STATION,100 CENTENNIAL OLYMPIC PARK DR NW & PHILIPS DR NW,33.756179,-84.397215,,,,,,1
797,908981,FIVE POINTS STATION,30 ALABAMA ST SW & UPPER ALABAMA ST SW,33.753837,-84.391397,,,,,,1
798,908436,KING MEMORIAL STATION,377 DECATUR ST SE & UNNAMED ST,33.749951,-84.375675,,,,,,1
799,908437,INMAN PARK-REYNOLDSTOWN STATION,1055 DEKALB AVE NE & UNNAMED ST,33.757451,-84.352762,,,,,,1
800,908438,AVONDALE STATION,915 E PONCE DE LEON AVE & E PONCE DE LEON AVE,33.775554,-84.281487,,,,,,1
801,908515,INDIAN CREEK STATION,3901 DURHAM PARK RD & UNNAMED ST,33.769856,-84.228906,,,,,,1
802,908516,INDIAN CREEK STATION,3901 DURHAM PARK RD & UNNAMED ST,33.769893,-84.229874,,,,,,1
803,908691,AVONDALE STATION,915 E PONCE DE LEON AVE & E PONCE DE LEON AVE,33.775214,-84.282466,,,,,,1
804,908692,INMAN PARK-REYNOLDSTOWN STATION,1055 DEKALB AVE NE & HURT ST NE,33.757227,-84.353066,,,,,,1
805,908693,KING MEMORIAL STATION,377 DECATUR ST SE & UNNAMED ST,33.749853,-84.37599,0,,,,,1
806,908990,FIVE POINTS STATION,30 ALABAMA ST SW & BROAD ST SW,33.754123,-84.391876,,,,,,1
807,908694,GWCC-CNN CENTER STATION,100 CENTENNIAL OLYMPIC PARK DR NW & PHILIPS DR NW,33.756187,-84.397291,,,,,,1
808,908695,AIRPORT STATION,6000 S TERMINAL PKY & UNNAMED ST,33.640831,-84.446198,,,,,,1
809,908599,COLLEGE PARK STATION,3800 E MAIN ST & UNNAMED ST,33.650577,-84.448656,,,,,,1
810,908600,GARNETT STATION,225 PEACHTREE ST SW & GARNETT ST SW,33.748938,-84.395545,,,,,,1
811,908986,FIVE POINTS STATION,30 ALABAMA ST SW & UPPER ALABAMA ST SW,33.754052,-84.391452,,,,,,1
812,908601,PEACHTREE CENTER STATION,216 PEACHTREE ST NE & ELLIS ST NW,33.758189,-84.387596,,,,,,1
814,908603,CHAMBLEE STATION,5200 NEW PEACHTREE RD & LENOX RD NE,33.887929,-84.305556,,,,,,1
815,908604,CHAMBLEE STATION,5200 NEW PEACHTREE RD & LENOX RD NE,33.887517,-84.306362,,,,,,1
817,907842,PEACHTREE CENTER STATION,216 PEACHTREE ST NE & ELLIS ST NE,33.758082,-84.387595,,,,,,1
818,908976,FIVE POINTS STATION,30 ALABAMA ST SW & UPPER ALABAMA ST SW,33.753899,-84.39156,,,,,,1
819,907843,GARNETT STATION,225 PEACHTREE ST SW & GARNETT ST SW,33.748696,-84.395741,,,,,,1
820,907844,COLLEGE PARK STATION,3800 E MAIN ST & UNNAMED ST,33.650282,-84.448612,,,,,,1
821,906647,AIRPORT STATION,6000 S TERMINAL PKY & UNNAMED ST,33.640553,-84.446198,,,,,,1
822,907845,SANDY SPRINGS STATION,1101 MT VERNON HWY NE & UNNAMED ST,33.931671,-84.351069,,,,,,1
823,907846,SANDY SPRINGS STATION,1101 MT VERNON HWY NE & UNNAMED ST,33.931564,-84.35096,,,,,,1
1118,906837,AIRPORT STATION,6000 S TERMINAL PKY & UNNAMED ST,33.640294,-84.446197,,,,,,1
9008,902632,N MAIN ST @ WINTHROPE PARK DR,0 MAIN & WINTHROPE PARK,34.089495,-84.294218,,,,,,1
9012,902630,N MAIN ST @ 379,,34.085826,-84.294957,,,,,,1
9016,902631,N MAIN ST @ 301,0 MAIN & PINE GROVE,34.08386,-84.294755,,,,,,1
9020,900005,N MAIN ST @ PINE GROVE DR,0 MAIN & PINE GROVE,34.082292,-84.294607,,,,,,1
9025,900006,N MAIN ST @ MAYFIELD RD,0 MAIN & MAYFIELD,34.080401,-84.29444,,,,,,1
9030,900018,N MAIN ST @ CUMMING ST,0 MAIN & CUMMING,34.078152,-84.294291,,,,,,1
9031,900007,N MAIN ST @ ACADEMY ST,0 MAIN & ACADEMY,34.076201,-84.294288,,,,,,1
9034,900008,N MAIN ST @ VAUGHAN DR,0 MAIN & VAUGHN,34.090788,-84.292399,,,,,,1
9224,900010,N MAIN ST @ VAUGHAN DR,0 N MAIN ST & VAUGHN DR,34.090721,-84.293124,,,,,,0
9226,900011,N MAIN ST @ PINE GROVE DR,0 MAIN & PINE GROVE,34.082476,-84.295051,,,,,,1
10004,900012,WINDWARD PKWY @ DEERFIELD PKWY,0 WINDWARD PKY & DEERFIELD PKY,34.088114,-84.270253,0,,,,,0
10006,900013,WINDWARD PKWY @ 5530,5530 WINDWARD PKY,34.087265,-84.266012,0,,,,,0
10008,900014,WINDWARD PKWY @ NORTH POINT PKWY,0 WINDWARD & NORTH POINT,34.088733,-84.257695,0,,,,,1
10010,902838,WINDWARD PKWY @ NORTH POINT PKWY,0 WINDWARD PKY & NORTH POINT PKY,34.088603,-84.257107,,,,,,0
10040,902839,MARTIN L KING JR DR NW @ OLLIE ST NW,0 MARTIN LUTHER KING JR DR NW & OLLIE ST NW,33.754809,-84.421186,,,,,,1
10044,902840,NORTH POINT PKWY @ 900,,34.08083,-84.25948,,,,,,1
10046,902796,NORTH POINT PKWY @ 960,,34.078413,-84.260238,,,,,,1
10054,902798,NORTH POINT PKWY @ 960,960 NORTH POINT PKY,34.078163,-84.260696,,,,,,1
10056,902799,NORTH POINT PKWY @ WEBB BRIDGE RD,0 NORTH POINT PKY & WEBB BRIDGE RD,34.076401,-84.260458,0,,,,,0
10134,902902,ATLANTA STUDENT MOVEMENT BLVD @ NORTHSIDE DR SW,0 ATLANTA STUDENT MOVEMENT BLVD & NORTHSIDE DR SW,33.748879,-84.404858,0,,,,,1
10142,906745,DEERFIELD PKWY @ MORRIS RD,DEERFIELD PKY & MORRIS RD,34.090815,-84.27003,0,,,,,1
10146,902976,WINDWARD PKWY @ JORDAN CT,5230 WINDWARD,34.092278,-84.276484,,,,,,1
10148,902977,SR 9 @ WINDWARD PKWY,0 CUMMING HWY & N MAIN ST,34.09459,-84.277967,,,,,,1
10150,902978,N MAIN ST @ COGBURN RD,0 CUMMING HWY & COGBURN RD,34.092294,-84.284189,0,,,,,1
10168,902903,N MAIN ST @ 684,,34.092137,-84.288496,0,,,,,0
10170,902904,N MAIN ST @ WATER OAK PL,,34.091927,-84.288615,,,,,,1
10172,902905,DEERFIELD PKWY @ MORRIS RD,0 DEERFIELD PKY & MORRIS RD,34.089933,-84.269247,0,,,,,0
10174,902979,DEERFIELD PKWY @ TWO VERIZON PL,0 DEERFIELD PKY & TWO VERIZON PL,34.09337,-84.270926,,,,,,1
